95	28	20	62	84	7	0	38	24	4	41	18	29	68	17	79	83	85	25
83	65	35	39	21	45	93	68	39	3	14	29	83	89	51	0	17	92	43
48	30	6	23	31	82	25	10	80	1	22	20	5	91	9	19	51	54	40
49	58	61	91	78	16	27	19	7	66	35	44	85	1	53	91	11	58	67
68	30	72	68	14	40	70	73	77	62	31	12	38	39	0	53	37	95	82
17	16	5	55	23	83	14	52	52	10	38	2	91	55	59	84	51	12	87
36	95	72	57	91	1	83	32	31	68	2	90	92	72	3	58	97	69	25
68	51	7	38	39	48	6	84	57	92	92	63	8	76	71	24	3	42	24
37	17	78	74	61	78	93	28	63	85	55	19	28	83	31	4	99	12	60
65	49	56	92	12	40	95	28	44	10	7	43	54	19	94	3	3	53	75
77	87	30	44	10	28	94	62	67	48	58	51	77	11	23	16	33	1	23
32	70	77	79	40	64	14	48	44	98	48	23	30	26	10	70	34	85	80
65	98	63	16	71	34	2	9	45	13	79	66	31	78	4	95	42	95	32
22	15	45	80	94	45	82	60	41	45	52	16	70	33	90	64	32	38	52
33	82	23	29	69	23	96	5	67	79	96	15	0	88	14	3	67	14	66
23	96	58	45	78	5	76	12	29	57	38	56	94	20	55	22	59	37	94
3	65	53	86	39	89	88	2	74	71	5	20	71	5	96	16	80	55	18
3	61	30	39	45	90	65	8	30	37	61	61	19	10	8	40	76	26	93
74	1	37	88	32	88	13	99	83	70	33	26	82	15	20	57	98	58	52
52	59	89	19	99	25	98	12	68	56	80	78	96	7	25	41	60	79	76
8	44	12	17	82	92	95	88	78	46	15	54	98	36	21	61	7	54	79
